Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,5/13/19 15:43,FALSE,Running,1.62,109,0:31:57,118,204,19:41,5:32,--,--,0.69,0,0,0,0,0,0:00,0,0:00,No,13:46.3,2,0,0:31:46,0:31:58,--,--
Running,1/16/20 16:04,FALSE,Waltham Running,0,--,00:01.6,184,184,16:18,7:00,--,--,0.54,0,0,0,0,0,0:00,0,0:00,No,00:00.0,1,0,0:00:00,00:01.6,106,107
Running,7/20/19 12:21,FALSE,Ossining Running,2.16,166,0:33:51,130,176,15:42,7:33,182,201,0.76,0,0,0,0,0,0:00,0,0:00,No,03:23.9,3,0,0:33:10,0:38:48,96,223
Running,11/21/20 16:34,FALSE,Ossining Running,0.1,5,01:30.9,164,200,14:55,13:51,--,--,0.66,0,0,0,0,0,0:00,0,0:00,No,01:30.9,1,0,0:01:28,01:30.9,307,315
Running,10/6/20 19:21,FALSE,Waltham Running,0.5,30,07:14.6,166,196,14:31,12:41,--,--,0.67,0,0,0,0,0,0:00,0,0:00,No,07:14.7,1,0,07:14.6,07:14.6,39,45
Running,10/20/20 20:06,FALSE,Waltham Running,0.52,30,07:16.1,166,192,13:53,12:50,--,--,0.7,0,0,0,0,0,0:00,0,0:00,No,07:16.1,1,0,0:07:16,07:16.1,46,48
Running,10/31/20 17:57,FALSE,Waltham Running,0.52,35,06:44.8,166,196,13:05,4:15,--,--,0.74,0,0,0,0,0,0:00,0,0:00,No,06:44.8,1,0,06:44.8,06:44.8,39,45
Running,7/27/18 6:19,FALSE,Ossining Running,3.14,264,0:39:58,160,188,12:44,5:09,263,260,0.79,0,0,0,0,0,0:00,0,0:00,No,00:00.0,4,0,0:38:55,0:39:58,16,224
Running,7/25/18 9:38,FALSE,Ossining Running,3,257,0:38:12,154,186,12:43,8:46,260,233,0.82,0,0,0,0,0,0:00,0,0:00,No,00:00.0,4,0,0:38:11,0:39:10,96,224
Running,10/24/20 16:57,FALSE,Waltham Running,0.52,38,06:36.7,168,184,12:42,11:03,--,--,0.75,0,0,0,0,0,0:00,0,0:00,No,06:36.7,1,0,0:06:36,06:36.7,46,48
Running,11/21/20 16:19,FALSE,Ossining Running,0.16,14,02:00.5,166,186,12:31,9:44,--,--,0.77,0,0,0,0,0,0:00,0,0:00,No,02:00.5,1,0,02:00.5,02:00.5,307,315
Running,9/17/18 16:58,FALSE,Ossining Running,1.22,101,0:15:01,164,180,12:19,8:12,18,18,0.79,0,0,0,0,0,0:00,0,0:00,No,00:00.0,2,0,0:15:01,0:15:01,364,407
Running,3/17/21 17:34,FALSE,Waltham Running,0.42,34,05:11.6,168,186,12:18,10:55,12,--,0.78,0,0,0,0,0,0:00,0,0:00,No,05:11.6,1,0,0:05:11,05:11.6,36,50
Running,8/1/21 7:58,FALSE,Ossining Running,1,98,0:12:13,168,172,12:11,11:17,--,165,0.79,0,0,0,0,0,0:00,0,0:00,No,00:01.5,2,0,0:12:12,0:12:13,157,353
Running,10/8/20 19:37,FALSE,Waltham Running,0.51,40,06:14.0,170,182,12:10,11:23,--,--,0.78,0,0,0,0,0,0:00,0,0:00,No,06:14.0,1,0,0:06:14,06:14.0,39,44
Running,7/28/21 13:14,FALSE,Waltham Running,0.56,54,06:50.9,168,176,12:09,10:48,--,--,0.79,0,0,0,0,0,0:00,0,0:00,No,06:50.9,1,0,06:50.9,06:50.9,39,46
Running,10/3/20 17:55,FALSE,Waltham Running,0.55,44,06:38.8,166,184,12:08,10:58,--,--,0.8,0,0,0,0,0,0:00,0,0:00,No,06:38.8,1,0,06:38.8,06:38.8,39,46
Running,4/30/19 17:02,FALSE,Running,0.24,21,02:54.1,160,172,12:07,9:04,--,--,0.83,0,0,0,0,0,0:00,0,0:00,No,00:00.0,1,0,0:02:46,02:54.1,--,--
Running,6/27/21 8:01,FALSE,Waltham Running,1,84,0:12:06,172,182,12:05,10:55,2,--,0.77,0,0,0,0,0,0:00,0,0:00,No,00:01.1,2,0,0:12:06,0:14:47,39,46
Running,9/20/18 16:14,FALSE,Ossining Running,0.49,43,05:56.0,168,172,12:05,10:10,--,14,0.79,0,0,0,0,0,0:00,0,0:00,No,00:00.0,1,0,0:05:47,05:56.0,228,248
Running,7/30/18 8:34,FALSE,Ossining Running,2.62,226,0:31:42,162,186,12:05,8:11,270,284,0.82,0,0,0,0,0,0:00,0,0:00,No,00:00.0,3,0,0:29:42,0:31:46,16,224
Running,9/26/20 20:10,FALSE,Waltham Running,0.52,44,06:10.7,168,182,11:59,11:04,--,--,0.8,0,0,0,0,0,0:00,0,0:00,No,06:10.7,1,0,06:10.7,06:10.7,39,44
Running,5/25/21 19:43,FALSE,Waltham Running,0.52,43,06:09.0,162,194,11:53,10:32,--,--,0.84,0,0,0,0,0,0:00,0,0:00,No,06:09.0,1,0,06:09.0,07:50.0,39,45
Running,12/7/18 15:48,FALSE,Running,2.67,240,0:31:21,170,194,11:44,5:56,--,--,0.81,0,0,0,0,0,0:00,0,0:00,No,00:00.0,3,0,0:31:12,0:31:45,--,--
Running,1/14/20 20:12,FALSE,Waltham Running,0.27,24,03:09.8,170,178,11:37,9:24,--,--,0.81,0,0,0,0,0,0:00,0,0:00,No,00:00.0,1,0,03:09.8,03:09.8,39,45
Running,11/26/20 17:47,FALSE,Ossining Running,0.26,21,02:59.4,170,194,11:34,10:11,--,--,0.82,0,0,0,0,0,0:00,0,0:00,No,02:59.4,1,0,0:02:59,02:59.4,307,318
Running,8/8/21 8:23,FALSE,Ossining Running,1,104,0:11:37,168,176,11:34,7:09,12,11,0.83,0,0,0,0,0,0:00,0,0:00,No,00:02.1,2,0,0:11:37,0:11:37,306,318
Running,8/9/18 9:08,FALSE,Ossining Running,1.93,167,0:22:24,164,174,11:34,5:55,134,220,0.84,0,0,0,0,0,0:00,0,0:00,No,00:00.0,2,0,0:22:23,0:22:24,16,193
Running,8/1/21 6:24,FALSE,Ossining Running,1,107,0:11:30,168,172,11:27,9:56,125,113,0.84,0,0,0,0,0,0:00,0,0:00,No,00:01.7,2,0,0:11:30,0:11:30,108,225
