,Date,county Name,Distance,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,AQI,Category
954,12/14/18,Westchester,0.11,00:26.2,120,120,3:57,3:45,3.4,00:00.0,1,0:00:24,00:26.2,29,Good
740,4/24/19,Westchester,0.1,00:24.1,120,120,3:59,3:45,3.37,00:00.0,1,0:00:22,00:24.1,37,Good
776,4/15/19,Westchester,0.13,00:33.0,118,120,4:05,3:33,3.33,00:00.0,1,0:00:31,00:33.0,41,Good
221,3/24/21,Middlesex,0.07,00:15.7,120,120,4:02,3:43,3.32,00:15.7,1,00:15.7,00:15.7,,
882,2/15/19,Westchester,0.1,00:24.1,120,120,4:03,3:49,3.31,00:00.0,1,0:00:23,00:24.1,36,Good
953,12/14/18,Westchester,0.11,00:26.6,120,120,4:05,3:26,3.28,00:00.0,1,0:00:24,00:26.6,29,Good
955,12/14/18,Westchester,0.12,00:27.8,122,176,4:01,3:40,3.28,00:00.0,1,0:00:26,00:27.8,29,Good
746,4/23/19,Westchester,0.03,00:07.9,120,120,4:06,3:53,3.27,00:00.0,1,0:00:06,00:07.9,44,Good
95,6/19/21,Middlesex,0.07,00:15.7,126,178,3:55,3:41,3.26,00:15.7,1,00:15.7,00:15.7,,
742,4/24/19,Westchester,0.1,00:24.5,120,120,4:08,3:43,3.24,00:00.0,1,0:00:20,00:24.5,37,Good
872,2/19/19,Westchester,0.1,00:26.1,120,120,4:08,3:51,3.24,00:00.0,1,0:00:25,00:26.1,38,Good
761,4/20/19,Westchester,0.09,00:23.7,120,120,4:11,3:54,3.2,00:00.0,1,0:00:20,00:23.7,38,Good
741,4/24/19,Westchester,0.1,00:24.9,120,120,4:14,3:55,3.16,00:00.0,1,0:00:24,00:24.9,37,Good
873,2/19/19,Westchester,0.1,00:26.0,120,120,4:16,4:00,3.15,00:00.0,1,0:00:23,00:26.0,38,Good
903,1/27/19,Westchester,0.13,00:34.0,120,122,4:17,4:04,3.13,00:00.0,1,0:00:30,00:34.0,37,Good
905,1/27/19,Westchester,0.13,00:32.8,124,182,4:08,4:07,3.13,00:00.0,1,0:00:32,00:32.8,37,Good
904,1/27/19,Westchester,0.13,00:34.1,120,122,4:18,4:06,3.12,00:00.0,1,0:00:31,00:34.1,37,Good
902,1/27/19,Westchester,0.13,00:34.6,120,120,4:19,3:36,3.11,00:00.0,1,0:00:31,00:34.6,37,Good
973,12/5/18,Westchester,0.14,00:34.0,126,172,4:06,3:47,3.11,00:00.0,1,0:00:30,00:34.0,30,Good
822,3/28/19,Westchester,0.13,00:33.4,122,204,4:15,3:52,3.1,00:00.0,1,0:00:29,00:33.4,41,Good
745,4/23/19,Westchester,0.03,00:09.2,120,120,4:23,4:10,3.06,00:00.0,1,0:00:06,00:09.2,44,Good
900,1/27/19,Westchester,0.14,00:34.5,124,180,4:14,4:13,3.06,00:00.0,1,0:00:32,00:34.5,37,Good
877,2/18/19,Westchester,0.1,00:26.0,120,120,4:25,3:53,3.04,00:00.0,1,0:00:22,00:26.0,37,Good
763,4/20/19,Westchester,0.1,00:24.4,126,172,4:12,4:00,3.04,00:00.0,1,0:00:20,00:24.4,38,Good
876,2/18/19,Westchester,0.1,00:27.3,120,120,4:29,3:55,2.99,00:00.0,1,0:00:26,00:27.3,37,Good
901,1/27/19,Westchester,0.13,00:35.0,120,120,4:31,4:15,2.97,00:00.0,1,0:00:34,00:35.0,37,Good
898,1/27/19,Westchester,0.13,00:35.5,124,124,4:24,4:06,2.95,00:00.0,1,0:00:34,00:35.5,37,Good
601,1/12/20,Middlesex,0.05,00:12.8,120,120,4:34,4:04,2.94,00:00.0,1,0:00:12,00:12.8,33,Good
878,2/18/19,Westchester,0.1,00:25.7,124,170,4:25,3:42,2.94,00:00.0,1,0:00:24,00:25.7,37,Good
874,2/19/19,Westchester,0.1,00:25.8,126,174,4:25,3:54,2.89,00:00.0,1,0:00:25,00:25.8,38,Good
222,3/24/21,Middlesex,0.06,00:15.3,142,186,4:00,3:39,2.83,00:15.3,1,0:00:15,00:15.3,,
972,12/5/18,Westchester,0.13,00:36.3,126,192,4:36,4:23,2.78,00:00.0,1,0:00:32,00:36.3,30,Good
991,11/26/18,Westchester,0.07,00:20.6,124,192,4:41,4:11,2.77,00:00.0,1,0:00:19,00:20.6,33,Good
800,4/7/19,Westchester,0.1,00:25.0,140,222,4:09,3:50,2.77,00:00.0,1,0:00:21,00:25.0,50,Good
762,4/20/19,Westchester,0.09,00:26.7,120,120,4:53,4:39,2.75,00:00.0,1,0:00:23,00:26.7,38,Good
602,1/12/20,Middlesex,0.05,00:14.0,126,174,4:47,4:24,2.67,00:00.0,1,0:00:14,00:14.0,33,Good
710,5/14/19,Westchester,0.14,00:35.4,140,200,4:21,3:54,2.64,00:00.0,1,0:00:32,00:35.4,19,Good
802,4/7/19,Westchester,0.08,00:24.5,126,172,4:58,3:48,2.57,00:00.0,1,0:00:20,00:24.5,50,Good
883,2/15/19,Westchester,0.09,00:24.0,150,236,4:13,3:38,2.55,00:00.0,1,0:00:23,00:24.0,36,Good
801,4/7/19,Westchester,0.1,00:26.0,144,200,4:28,3:56,2.5,00:00.0,1,0:00:22,00:26.0,50,Good
743,4/24/19,Westchester,0.1,00:24.3,154,172,4:13,3:48,2.48,00:00.0,1,0:00:24,00:24.3,37,Good
824,3/28/19,Westchester,0.14,00:33.9,160,240,4:05,3:40,2.46,00:00.0,1,0:00:30,00:34.0,41,Good
220,3/24/21,Middlesex,0.06,00:15.9,162,224,4:09,3:55,2.39,00:15.9,1,00:15.9,00:15.9,,
777,4/15/19,Westchester,0.13,00:32.6,164,176,4:07,3:50,2.39,00:00.0,1,0:00:28,00:32.6,41,Good
899,1/27/19,Westchester,0.13,00:35.4,152,180,4:32,4:07,2.33,00:00.0,1,0:00:32,00:35.4,37,Good
714,5/14/19,Westchester,0.14,00:33.3,176,222,3:55,3:30,2.33,00:00.0,1,0:00:32,00:33.3,19,Good
1024,11/8/18,Westchester,0.19,00:53.0,152,200,4:36,4:05,2.31,00:00.0,1,0:00:50,00:53.0,20,Good
971,12/5/18,Westchester,0.13,00:36.3,154,192,4:33,3:59,2.29,00:00.0,1,0:00:34,00:36.3,30,Good
